X,Y,Z
2693.424920310092,5440.512343072332,0
2722.0459286193945,5440.491348791868,0
2636.160491421062,5409.807067972608,0
2664.7814429013524,5409.786178588867,0
2693.402394573961,5409.765236654319,0
2722.023346427479,5409.7442421671,0
2750.6442984847235,5409.72319512628,0
2578.896288858552,5379.101582437754,0
2607.5171834980138,5379.080797953531,0
2636.138078330143,5379.059960918501,0
2664.758973354008,5379.039071328938,0
2693.379868570133,5379.018129186705,0
2722.000763967226,5378.997134491801,0
2750.6216595680453,5378.976087244228,0
2779.242555365141,5378.954987443984,0
2807.863451353798,5378.933835091069,0
2550.2531504239305,5348.375206881203,0
2578.873988415522,5348.354474745691,0
2607.4948265979183,5348.333690056577,0
2636.115664972924,5348.312852813862,0
2664.736503539724,5348.291963018477,0
2693.3573422987247,5348.271020668559,0
2721.9781812386937,5348.250025766902,0
2750.5990203823894,5348.228978311643,0
2779.219859722361,5348.207878302783,0
2807.840699253895,5348.186725741252,0
2836.461538981472,5348.165520627052,0
2492.9893436844577,5317.669405373745,0
2521.610124838131,5317.648778140545,0
2550.230906173761,5317.628098353744,0
2578.851687707589,5317.607366012409,0
2607.4724694322213,5317.586581118405,0
2636.0932513494045,5317.565743669868,0
2664.71403345844,5317.54485366866,0
2693.334815759677,5317.523911112919,0
2721.955598241824,5317.502916002646,0
2750.5763809276978,5317.481868339703,0
2779.1971638099058,5317.460768122226,0
2807.817946883675,5317.439615352079,0
2836.43873015343,5317.4184100274,0
2865.059513617016,5317.397152149119,0
2464.346487579751,5286.942871075124,0
2492.9672120868927,5286.922296192497,0
2521.5879367821035,5286.901668755338,0
2550.2086616593297,5286.880988763645,0
2578.8293867346947,5286.860256219283,0
2607.4501120008645,5286.839471119456,0
2636.070837459644,5286.818633465096,0
2664.6915631101583,5286.797743257135,0
2693.312288952933,5286.776800494641,0
2721.933014976676,5286.755805177614,0
2750.5537412040867,5286.734757306054,0
2779.174467627832,5286.713656881824,0
2807.795194243139,5286.69250390213,0
2836.415921054373,5286.671298367903,0
2865.0366480594967,5286.650040280074,0
2893.657375252398,5286.628729637712,0
2922.2781026492594,5286.607366440818,0
2435.703744320432,5256.216283578426,0
2464.3244121783064,5256.195761047304,0
2492.945080226404,5256.175185961649,0
2521.565748462512,5256.15455832053,0
2550.186416880577,5256.133878124878,0
2578.807085496839,5256.113145375624,0
2607.427754303848,5256.092360069975,0
2636.048423303524,5256.071522210725,0
2664.669092494936,5256.050631796941,0
2693.2897618786083,5256.029688826762,0
2721.9104314431897,5256.00869330205,0
2750.53110121144,5255.987645223737,0
2779.1517711760825,5255.96654459089,0
2807.7724413322285,5255.9453914016485,0
2836.39311168436,5255.924185657874,0
2865.0137822303222,5255.902927360497,0
2893.634452964063,5255.881616508588,0
2922.255123901763,5255.860253100283,0
2950.8757950360887,5255.838837138377,0
2407.061113904172,5225.48964288272,0
2435.681725116505,5225.469172703102,0
2464.3023365146364,5225.448649969883,0
2492.9229481029324,5225.428074680269,0
2521.543559879239,5225.407446837053,0
2550.164171837503,5225.386766437441,0
2578.784783993964,5225.366033481434,0
2607.40539634123,5225.345247970894,0
2636.0260088811046,5225.324409905821,0
2664.6466216127155,5225.303519286215,0
2693.2672345365863,5225.282576109283,0
2721.8878476413665,5225.261580377817,0
2750.5084609498736,5225.240532090887,0
2779.129074454657,5225.219431249425,0
2807.749688151001,5225.198277851567,0
2836.370302043332,5225.177071900107,0
2864.9909161294927,5225.155813392252,0
2893.611530403432,5225.134502328932,0
2922.232144881331,5225.113138710149,0
2950.852759555797,5225.091722536832,0
2979.473374428693,5225.070253808051,0
2407.039150899101,5194.742531158961,0
2435.6597056509927,5194.722060777247,0
2464.2802605886827,5194.701537841,0
2492.900815716479,5194.680962349288,0
2521.521371032344,5194.6603343021125,0
2550.1419265302247,5194.63965369761,0
2578.762482226186,5194.618920538575,0
2607.38303811301,5194.598134823144,0
2636.003594192385,5194.577296551317,0
2664.6241504635545,5194.556405724958,0
2693.2447069269256,5194.535462341271,0
2721.865263571264,5194.514466403052,0
2750.4858204192715,5194.493417908438,0
2779.106377463613,5194.472316858359,0
2807.726934699458,5194.451163251884,0
2836.3474921313464,5194.429957089946,0
2864.968049757008,5194.408698372543,0
2893.5886075704475,5194.3873870987445,0
2922.2091655878467,5194.366023268551,0
2950.8297238018718,5194.344606883824,0
2979.450282214268,5194.323137942702,0
3008.070840824221,5194.301616445184,0
2407.017187633144,5163.995418395847,0
2435.637685923896,5163.974947813898,0
2464.2581844004453,5163.954424674623,0
2492.87868306716,5163.933848978952,0
2521.499181921885,5163.913220727816,0
2550.1196809586254,5163.892539920285,0
2578.7401801934466,5163.871806555428,0
2607.3606796191307,5163.851020635106,0
2635.981179237424,5163.830182157457,0
2664.601679047395,5163.809291124344,0
2693.222179049684,5163.788347534835,0
2721.8426792328246,5163.767351388931,0
2750.463179619692,5163.746302686632,0
2779.083680202893,5163.725201427937,0
2807.7041809776565,5163.704047612846,0
2836.3246819483466,5163.68284124136,0
2864.945183112868,5163.661582313478,0
2893.565684465168,5163.640270830132,0
2922.1861860214267,5163.618906790391,0
2950.806687774253,5163.597490193322,0
2979.427189725451,5163.5760210398585,0
3008.0476918742643,5163.554499329999,0
3036.6681942105643,5163.532925065607,0
2378.374782478204,5133.268722801469,0
2406.995224106184,5133.248304573819,0
2435.6156659352127,5133.227833788842,0
2464.236107949924,5133.207310447469,0
2492.8565501548583,5133.18673454877,0
2521.476992547803,5133.166106092744,0
2550.097435122705,5133.145425080322,0
2578.717877895804,5133.124691511504,0
2607.3383208596497,5133.103905386291,0
2635.9587640161044,5133.083066703752,0
2664.579207364295,5133.062175463885,0
2693.199650904746,5133.041231667623,0
2721.820094626106,5133.020235314034,0
2750.4405385511927,5132.999186404049,0
2779.0609826724976,5132.978084936738,0
2807.681426985422,5132.956930913031,0
2836.301871494332,5132.935724332929,0
2864.922316197015,5132.914465194568,0
2893.542761087476,5132.893153499812,0
2922.1632061818964,5132.87178924866,0
2950.7836514729424,5132.850372441113,0
2979.404096962302,5132.828903075308,0
3008.024542649277,5132.807381154969,0
3036.644988523796,5132.78580667451,0
3065.2654346059426,5132.764179639518,0
2378.3528751527774,5102.521608129144,0
2406.9732603183365,5102.501189700328,0
2435.5936456848867,5102.480718713254,0
2464.2140312371776,5102.460195168853,0
2492.834416979633,5102.439619067125,0
2521.454802910099,5102.41899040807,0
2550.075189022522,5102.398309191689,0
2578.695575333142,5102.377575417981,0
2607.315961834509,5102.356789086014,0
2635.936348528485,5102.335950198583,0
2664.5567354141967,5102.315058751963,0
2693.177122492169,5102.294114748947,0
2721.79750975105,5102.273118188605,0
2750.417897213658,5102.252069070935,0
2779.038284872484,5102.230967395008,0
2807.6586727229296,5102.209813162684,0
2836.2790607693023,5102.188606372103,0
2864.8994490095647,5102.167347025126,0
2893.5198374374886,5102.146035119891,0
2922.1402260694304,5102.124670658261,0
2950.7606148979394,5102.103253638372,0
2979.38100392482,5102.081784062088,0
3008.0013931492576,5102.060261927545,0
3036.6217825612403,5102.038687234744,0
3065.242172180966,5102.017059985548,0
3093.862561999588,5101.995380179957,0
2349.710639040335,5071.794858480804,0
2378.3309675671626,5071.774492407218,0
2406.9512962695444,5071.754073776305,0
2435.5716251729755,5071.733602587134,0
2464.191954262089,5071.713078839704,0
2492.812283541425,5071.69250253588,0
2521.432613008772,5071.671873672865,0
2550.052942658076,5071.651192252524,0
2578.673272505519,5071.630458272994,0
2607.2936025437666,5071.609671737999,0
2635.913932774565,5071.588832643814,0
2664.534263197158,5071.567940991372,0
2693.1545938119525,5071.5469967816025,0
2721.774924607714,5071.526000013575,0
2750.3952556071454,5071.504950687289,0
2779.0155868028523,5071.483848803677,0
2807.6359181901207,5071.462694361806,0
2836.256249773316,5071.441487362608,0
2864.876581550401,5071.4202278051525,0
2893.496913515206,5071.398915691301,0
2922.1172456839704,5071.377551017329,0
2950.737578049302,5071.356133786961,0
2979.357910613005,5071.334663997404,0
3007.9782433742657,5071.31314165052,0
3036.598576323071,5071.291566746309,0
3065.2189094795613,5071.269939282909,0
3093.8392428350635,5071.248259262182,0
3122.4595763926627,5071.226526683196,0
3151.079910147586,5071.204741546884,0
2349.688787658233,5041.047741921619,0
2378.309059721243,5041.027375645936,0
2406.929331959865,5041.006956813857,0
2435.549604399421,5040.986485422589,0
2464.169877024775,5040.965961473063,0
2492.790149840293,5040.945384964347,0
2521.4104228438227,5040.924755899236,0
2550.030696029309,5040.904074274004,0
2578.6509694129345,5040.883340090513,0
2607.2712429873645,5040.862553348765,0
2635.891516754404,5040.841714048758,0
2664.511790713179,5040.820822191425,0
2693.132064864156,5040.79987777397,0
2721.752339196042,5040.778880799189,0
2750.3726137316557,5040.75783126615,0
2778.9928884635447,5040.73672917299,0
2807.613163386937,5040.715574523434,0
2836.233438506373,5040.6943673137575,0
2864.8537138195825,5040.673107546754,0
2893.4739893205115,5040.651795221493,0
2922.0942650254583,5040.630430337042,0
2950.7145409269724,5040.609012894332,0
2979.3348170268,5040.587542893365,0
3007.9550933242426,5040.56602033414,0
3036.5753698092303,5040.544445216656,0
3065.1956465018447,5040.522817540914,0
3093.815923393471,5040.501137305982,0
3122.436200487253,5040.479404512793,0
3151.0564777783,5040.457619160414,0
2349.666936016525,5010.300624299794,0
2378.287151615077,5010.280257824808,0
2406.9073673891835,5010.2598387897015,0
2435.527583364339,5010.239367196336,0
2464.147799525177,5010.218843044713,0
2492.7680158762378,5010.1982663339,0
2521.388232415251,5010.177637063898,0
2550.0084491362795,5010.156955234706,0
2578.628666055447,5010.136220846325,0
2607.248883165361,5010.115433899686,0
2635.869100467884,5010.094594394788,0
2664.489317962143,5010.07370232977,0
2693.109535648662,5010.052757706493,0
2721.7297535160906,5010.031760523096,0
2750.349971587188,5010.010710782372,0
2778.970189854561,5009.989608481526,0
2807.590408313496,5009.968453623354,0
2836.2106269684155,5009.947246205062,0
2864.8308458171086,5009.925986227579,0
2893.451064853521,5009.904673691839,0
2922.0712840939523,5009.883308596909,0
2950.6915035309503,5009.861890943721,0
2979.31172316632,5009.840420729481,0
